AGID,lab_id,catalog_number,set_id,peptide_target,protein_expression,gene_name,validation_status,antibody_origin,type,control1,fold_change
AGID00002,1.085085260482085,9456,Old,4EBP1_pS65,,EIF4EBP1,Valid,Rabbit,PTM,,0.8733406844097279
AGID00003,1.1810837540917487,9459,Old,4EBP1_pT37T46,,EIF4EBP1,Valid,Rabbit,PTM,,0.3577435228247764
AGID00443,1.2174989968650944,9455,Old,4EBP1_pT70,,EIF4EBP1,Caution,Rabbit,PTM,,0.8773129610258645
AGID00004,1.2745656390587325,3661,Old,ACC_pS79,,ACACA/ACACB,Valid,Rabbit,PTM,,0.881576894095691
AGID00028,1.5273830537169397,9271,Old,AKT_pS473,,AKT1/AKT2/AKT3,Valid,Rabbit,PTM,,0.6959733424869635
AGID00170,1.62958062718545,2965,Old,AKT_pT308,,AKT1/AKT2/AKT3,Valid,Rabbit,PTM,,0.6914683347920062
AGID00347,1.660685944870769,8599,Set181,Akt2_pS474,0.7169355180598357,AKT2,Caution,Rabbit,PTM,0.7169355180598357,0.9388149908366095
AGID00287,1.6491613583651736,ABC80,Set181,Ambra1_pS52,0.7169355180598357,AMBRA1,Caution,Rabbit,PTM,0.7169355180598357,0.9388149908366095
AGID00236,1.6386035099952525,ab129081,Set181,AMPK-a2_pS345,0.3203548258076352,PRKAA2,Valid,Rabbit,PTM,,
AGID00007,1.3881869714310657,2535,Old,AMPKALPHA_pT172,,PRKAA1/PRKAA2,Caution,Rabbit,PTM,0.45645609925178576,
AGID02191,1.6726388318617562,PA5-39728,Old,ARAF_pS299,,ARAF,Caution,Rabbit,PTM,0.2928779567125559,
AGID02142,1.671343714599295,13050,Set181,ATM_pS1981,0.2946785650244277,ATM,Valid,Rabbit,PTM,0.586660253566397,0.5637449443183945
AGID00315,1.6545066992217154,ab178407,Set181,ATR_pS428,0.5441827420486853,ATR,Caution,Rabbit,PTM,0.3872109158025118,0.9883313140510042
AGID00392,1.668784256705369,2914,Set181,Aurora-ABC_pT288_pT232_pT198,,AURKA/AURKB/AURKC,Caution,Rabbit,PTM,,0.8472670765909716
AGID00179,1.6303748494944406,9565,Set181,b-Catenin_pT41_S45,0.18166619428862082,CTNNB1,Valid,Rabbit,PTM,,
AGID00008,1.4280525131582584,9291,Old,BAD_pS112,0.262889185439424,BAD,Valid,Rabbit,PTM,,
AGID00373,1.6654713302460031,07-507,Set181,BMK1-Erk5_pT218_Y220,0.12709815851198816,MAPK7,Valid,Rabbit,PTM,0.37016117063528614,0.503713986066252
AGID00014,1.460815342430604,2696,Old,BRAF_pS445,0.3156316046515534,BRAF,Valid,Rabbit,PTM,,
AGID00168,1.629178938643524,2865,Set181,c-Abl_pY412,,ABL1,Caution,Rabbit,PTM,0.13747105183453467,
AGID00293,1.6501092937673243,ab32384,Set181,CDK1_pT14,0.5570019738076523,CDK1/CDK2/CDK3,Caution,Rabbit,PTM,0.4078491389985226,0.9783881278291894
AGID00314,1.6541365217236068,4539,Old,CDK1_pY15,0.31641750686286685,CDK1,Caution,Rabbit,PTM,,
AGID00234,1.6384772704565125,ab79758,Old,CHK1_pS296,,CHEK1,Valid,Rabbit,PTM,0.22315789146052833,
AGID00107,1.6152368567935524,2348,Old,CHK1_pS345,0.02972860581057411,CHEK1,Caution,Rabbit,PTM,,
AGID00019,1.495140306476907,2197,Old,CHK2_pT68,0.2180415282092621,CHEK2,Caution,Rabbit,PTM,0.3866677190571629,0.6341158836038093
AGID00434,1.499062529459515,9164,Old,CJUN_pS73,,JUN,Valid,Rabbit,PTM,,0.7342033567980033
AGID00079,1.6022353652921304,3129,Old,CMET_pY1235,,MET,Valid,Rabbit,PTM,0.2402551514830193,
AGID00022,1.509571467111654,9427,Old,CRAF_pS338,0.1908275823569137,RAF1,Valid,Rabbit,PTM,,
AGID00393,1.6688072995748502,9198,Set181,CREB_pS133,,CREB1,Caution,Rabbit,PTM,,0.6645382398739839
AGID00308,1.653732391998215,GTX10524,Set181,DAPK1_pS308,0.49866021366285546,DAPK1,Caution,Mouse,PTM,,
AGID00428,1.6703716494387424,SAB4504671,Set181,DDR1_pY513,0.2852196347863333,DDR1,Caution,Rabbit,PTM,0.41032327267050106,0.6973112692536431
AGID00407,1.669652360529396,13609,Set181,D _POLG,0.5142533288213401,POLG,Valid,Rabbit,PTM,0.5867548112318925,0.7670453036687619
AGID00450,1.5233028189507771,2234,Old,EGFR_pY1068,0.38385932762234687,EGFR,Caution,Rabbit,PTM,,
AGID00026,1.52458716287098,1124-1/ab32578,Old,EGFR_pY1173,0.7169355180598357,EGFR,Valid,Rabbit,PTM,0.7169355180598357,0.9388149908366095
AGID00328,1.6567897313723001,ab76256,Set181,eIF4E_pS209,,EIF4E,Valid,Rabbit,PTM,,0.8159653219288009
AGID00027,1.5267725878601215,9181,Set181,Elk1_pS383,,ELK1,Caution,Rabbit,PTM,,0.9388990533608719
AGID00552,1.670793777859289,6347,Set181,EphA2_pS897,,EPHA2,Caution,Rabbit,PTM,,0.5553307642656051
AGID00553,1.6708158945334546,12677,Set181,EphA2_pY588,,EPHA2,Caution,Rabbit,PTM,,0.8375221862533123
AGID00029,1.5306365368993762,1091-1/ab32396,Old,ERALPHA_pS118,,ESR1,Valid,Rabbit,PTM,,0.8433338251897528
AGID02151,1.671561967827768,8556,Set181,FAK_pY397,,PTK2,Valid,Rabbit,PTM,,0.9153072186663567
AGID02197,1.6728089450362282,orb6051,Old,FOXO3A_pS318S321,0.17013138069392578,FOXO3,Caution,Rabbit,PTM,0.0749207680962962,1.1063580264931216
AGID02167,1.6719523821107773,PA5-64616,Set181,FRS2-alpha_pY196,0.7169355180598357,FRS2,Valid,Rabbit,PTM,0.7169355180598357,0.9388149908366095
AGID00502,1.6258493573468547,9336,Old,GSK3_pS9,,GSK3B,Valid,Rabbit,PTM,,0.7510457180095473
AGID00034,1.5421520410444218,9331,Old,GSK3ALPHABETA_pS21S9,,GSK3A/GSK3B,Valid,Rabbit,PTM,,0.7612835835751903
AGID00130,1.623318700008049,3891,Old,GYS_pS641,,GYS1,Valid,Rabbit,PTM,,
AGID01354,1.638223858903631,9718,Set181,H2AX_pS139,0.33492900162425054,H2AX,Caution,Rabbit,PTM,0.39062148220075094,0.7729757801485532
AGID00363,1.6409851154495738,MA1-2022,Set181,H2AX_pS140,0.3820823679389483,H2AX,Caution,Mouse,PTM,,
AGID00142,1.5453993975785567,06-229,Old,HER2_pY1248,,ERBB2,Valid,Rabbit,PTM,,0.8129261575575459
AGID00080,1.6023187905698788,4791,Old,HER3_pY1289,0.2701734217752634,ERBB3,Caution,Rabbit,PTM,,
AGID00398,1.668968297240587,3377,Set181,Histone-H3_pS10,,H3C1,Valid,Rabbit,PTM,,0.7525679441226545
AGID00036,1.5505862381568523,2401,Set181,HSP27_pS82,0.7224552154340675,HSPB1,Valid,Rabbit,PTM,,
AGID00197,1.632828544379548,3024,Old,IGF1R_pY1135Y1136,0.4510625985980523,IGF1R/INSR,Valid,Rabbit,PTM,0.313200413384168,0.9829467294879776
AGID00520,1.6729149650574795,4947,Set181,IRF-3_pS396,0.4846014521709272,IRF3,Caution,Rabbit,PTM,0.3156599609890802,1.013583135971856
AGID00758,1.5608215233479827,4671,Old,JNK_pT183Y185,0.3847692661676228,MAPK8,Caution,Rabbit,PTM,,
AGID00244,1.6392716059638621,2568,Set181,LRP6_pS1490,0.06280632889585078,LRP6,Valid,Rabbit,PTM,,
AGID02154,1.671627254059638,4370,Old,MAPK_pT202Y204,0.6280495459609886,MAPK1/MAPK3,Caution,Rabbit,PTM,,
AGID00175,1.6300784309228045,3521,Set181,MDM2_pS166,,MDM2,Valid,Rabbit,PTM,,0.9371910934058556
AGID00143,1.6255260934258515,9154,Old,MEK1_pS217S221,0.6315793451513242,MAP2K1/MAP2K2,Valid,Rabbit,PTM,,
AGID00338,1.6591133924700452,12110,Set181,MERIT40_pS29,0.34594845019784726,BABAM1,Valid,Rabbit,PTM,,
AGID00047,1.57173016929797,2971,Old,MTOR_pS2448,0.28090498551979276,MTOR,Caution,Rabbit,PTM,,
AGID00173,1.6298798787881772,5026,Old,MYOSINIIA_pS1943,,MYH9,Valid,Rabbit,PTM,0.3074012998958785,
AGID00156,1.6281610004028568,3217,Old,NDRG1_pT346,0.5630288829142405,NDRG1,Valid,Rabbit,PTM,,
AGID00048,1.5732931505489898,3033,Old,NFKBP65_pS536,,RELA,Caution,Rabbit,PTM,,0.6930470173934172
AGID00096,1.6110762829099223,AF1555,Old,P27_pT157,0.25130295726948587,CDKN1B,Caution,Rabbit,PTM,0.393332372090174,0.6718007557412097
AGID00099,1.6135705668444862,ab64949,Old,P27_pT198,,CDKN1B,Valid,Rabbit,PTM,0.2832360135781409,
AGID00098,1.5762964400186237,9211,Old,P38_pT180Y182,0.4957069355953559,MAPK11/MAPK12/MAPK13/MAPK14,Valid,Rabbit,PTM,,
AGID00052,1.5782569411244538,9205,Old,P70S6K_pT389,0.4430757179541299,RPS6KB1,Valid,Rabbit,PTM,,
AGID00531,1.6057120375542593,9344,Old,P90RSK_pT359S363,,RPS6KA1,Caution,Rabbit,PTM,,0.7533258227435576
AGID00182,1.6307674714032074,9346,Set181,p90RSK_pT573,,RPS6KA1,Caution,Rabbit,PTM,,0.8741902499189315
AGID00057,1.581015036062012,3061,Old,PDK1_pS241,,PDPK1,Valid,Rabbit,PTM,,0.9595138645116427
