AGID,lab_id,catalog_number,set_id,peptide_target,protein_expression,gene_name,validation_status,antibody_origin,type,control1,fold_change
AGID00002,1.1774100225154747,9456,Old,4EBP1_pS65,,EIF4EBP1,Valid,Rabbit,PTM,,1.1441087203583409
AGID00003,1.3949588341794583,9459,Old,4EBP1_pT37T46,,EIF4EBP1,Valid,Rabbit,PTM,,0.1365307584392616
AGID00443,1.4823038073675112,9455,Old,4EBP1_pT70,,EIF4EBP1,Caution,Rabbit,PTM,,1.1590709891978144
AGID00004,1.624517568269195,3661,Old,ACC_pS79,,ACACA/ACACB,Valid,Rabbit,PTM,,1.175324437761761
AGID00028,2.3328989927816837,9271,Old,AKT_pS473,,AKT1/AKT2/AKT3,Valid,Rabbit,PTM,,0.6231665363287731
AGID00170,2.6555330204981247,2965,Old,AKT_pT308,,AKT1/AKT2/AKT3,Valid,Rabbit,PTM,,0.6130526796287575
AGID00347,2.7578778074913184,8599,Set181,Akt2_pS474,1.0481470739682048,AKT2,Caution,Rabbit,PTM,1.0481470739682048,1.4142135623730951
AGID00287,2.7197331859248646,ABC80,Set181,Ambra1_pS52,1.0481470739682048,AMBRA1,Caution,Rabbit,PTM,1.0481470739682048,1.4142135623730951
AGID00236,2.685021462968762,ab129081,Set181,AMPK-a2_pS345,0.37761649150853366,PRKAA2,Valid,Rabbit,PTM,,
AGID00007,1.9270630676509546,2535,Old,AMPKALPHA_pT172,,PRKAA1/PRKAA2,Caution,Rabbit,PTM,0.5784701196501459,
AGID02191,2.7977206618518604,PA5-39728,Old,ARAF_pS299,,ARAF,Caution,Rabbit,PTM,0.34027920836915587,
AGID02142,2.79338981233057,13050,Set181,ATM_pS1981,0.3426947002767537,ATM,Valid,Rabbit,PTM,0.7979736010893105,0.3741129040811076
AGID00315,2.7373924177695357,ab178407,Set181,ATR_pS428,0.723199508248243,ATR,Caution,Rabbit,PTM,0.47286710946322713,1.655940386004279
AGID00392,2.7848408954276906,2914,Set181,Aurora-ABC_pT288_pT232_pT198,,AURKA/AURKB/AURKC,Caution,Rabbit,PTM,,1.050044497628553
AGID00179,2.6581221498640195,9565,Set181,b-Catenin_pT41_S45,0.19921382263732107,CTNNB1,Valid,Rabbit,PTM,,
AGID00008,2.039333980337618,9291,Old,BAD_pS112,0.30068257639717255,BAD,Valid,Rabbit,PTM,,
AGID00373,2.773794751871391,07-507,Set181,BMK1-Erk5_pT218_Y220,0.13552847409654145,MAPK7,Valid,Rabbit,PTM,0.4479679657750638,0.28882091337020593
AGID00014,2.1339814646806428,2696,Old,BRAF_pS445,0.3711250464841441,BRAF,Valid,Rabbit,PTM,,
AGID00168,2.6542240141196394,2865,Set181,c-Abl_pY412,,ABL1,Caution,Rabbit,PTM,0.14736849127838705,
AGID00293,2.722860681377298,ab32384,Set181,CDK1_pT14,0.7454317980925824,CDK1/CDK2/CDK3,Caution,Rabbit,PTM,0.5035803124274933,1.6045067989883994
AGID00314,2.736167632499872,4539,Old,CDK1_pY15,0.37220304023351447,CDK1,Caution,Rabbit,PTM,,
AGID00234,2.6846077658026237,ab79758,Old,CHK1_pS296,,CHEK1,Valid,Rabbit,PTM,0.2500179253114237,
AGID00107,2.6089901035443153,2348,Old,CHK1_pS345,0.03017491252606592,CHEK1,Caution,Rabbit,PTM,,
AGID00019,2.23544453605186,2197,Old,CHK2_pT68,0.2436387126353968,CHEK2,Caution,Rabbit,PTM,0.4720672700977722,0.494965237163177
AGID00434,2.2471884672295594,9164,Old,CJUN_pS73,,JUN,Valid,Rabbit,PTM,,0.7143852630058938
AGID00079,2.567158165792806,3129,Old,CMET_pY1235,,MET,Valid,Rabbit,PTM,0.2715735528115245,
AGID00022,2.278806014317632,9427,Old,CRAF_pS338,0.21025076550666078,RAF1,Valid,Rabbit,PTM,,
AGID00393,2.7849178031143036,9198,Set181,CREB_pS133,,CREB1,Caution,Rabbit,PTM,,0.5552107581810712
AGID00308,2.7348308243441375,GTX10524,Set181,DAPK1_pS308,0.6465138155572082,DAPK1,Caution,Mouse,PTM,,
AGID00428,2.790141447248705,SAB4504671,Set181,DDR1_pY513,0.3300541221962299,DDR1,Caution,Rabbit,PTM,0.5073049768658522,0.6261951237433904
AGID00407,2.787739005021384,13609,Set181,D _POLG,0.6723893105903145,POLG,Valid,Rabbit,PTM,0.7981436213138832,0.8010295937104945
AGID00450,2.3204514782233843,2234,Old,EGFR_pY1068,0.46793892869764414,EGFR,Caution,Rabbit,PTM,,
AGID00026,2.324366017190984,1124-1/ab32578,Old,EGFR_pY1173,1.0481470739682048,EGFR,Valid,Rabbit,PTM,1.0481470739682048,1.4142135623730951
AGID00328,2.744952213980698,ab76256,Set181,eIF4E_pS209,,EIF4E,Valid,Rabbit,PTM,,0.9460455813543024
AGID00027,2.331034535041092,9181,Set181,Elk1_pS383,,ELK1,Caution,Rabbit,PTM,,1.4145946649128858
AGID00552,2.791551848133315,6347,Set181,EphA2_pS897,,EPHA2,Caution,Rabbit,PTM,,0.3612348391282325
AGID00553,2.791625753425628,12677,Set181,EphA2_pY588,,EPHA2,Caution,Rabbit,PTM,,1.016661482008638
AGID00029,2.3428482080913153,1091-1/ab32396,Old,ERALPHA_pS118,,ESR1,Valid,Rabbit,PTM,,1.0364578298223233
AGID02151,2.7941194122882402,8556,Set181,FAK_pY397,,PTK2,Valid,Rabbit,PTM,,1.3112472284050785
AGID02197,2.7982897665932187,orb6051,Old,FOXO3A_pS318S321,0.18546058772439997,FOXO3,Caution,Rabbit,PTM,0.07779875145460918,2.4008591224809503
AGID02167,2.7954247680459026,PA5-64616,Set181,FRS2-alpha_pY196,1.0481470739682048,FRS2,Valid,Rabbit,PTM,1.0481470739682048,1.4142135623730951
AGID00502,2.64338613278518,9336,Old,GSK3_pS9,,GSK3B,Valid,Rabbit,PTM,,0.7578116777933684
AGID00034,2.3782329176974764,9331,Old,GSK3ALPHABETA_pS21S9,,GSK3A/GSK3B,Valid,Rabbit,PTM,,0.7852397048035714
AGID00130,2.6351636017958215,3891,Old,GYS_pS641,,GYS1,Valid,Rabbit,PTM,,
AGID01354,2.683777411881104,9718,Set181,H2AX_pS139,0.3978411372489858,H2AX,Caution,Rabbit,PTM,0.47789899645061407,0.8175538465446787
AGID00363,2.6928321491270513,MA1-2022,Set181,H2AX_pS140,0.46533277660301997,H2AX,Caution,Mouse,PTM,,
AGID00142,2.388259298036166,06-229,Old,HER2_pY1248,,ERBB2,Valid,Rabbit,PTM,,0.9364355498377878
AGID00080,2.567425506613319,4791,Old,HER3_pY1289,0.3101916467936281,ERBB3,Caution,Rabbit,PTM,,
AGID00398,2.7854551771941445,3377,Set181,Histone-H3_pS10,,H3C1,Valid,Rabbit,PTM,,0.7618396353564181
AGID00036,2.4043176819614187,2401,Set181,HSP27_pS82,1.0594834839884972,HSPB1,Valid,Rabbit,PTM,,
AGID00197,2.666129055340634,3024,Old,IGF1R_pY1135Y1136,0.5699795575364904,IGF1R/INSR,Valid,Rabbit,PTM,0.3677956281110057,1.627897963018567
AGID00520,2.7986444803132677,4947,Set181,IRF-3_pS396,0.6235278263955667,IRF3,Caution,Rabbit,PTM,0.3711639271200073,1.7936549977629477
AGID00758,2.4361638277463173,4671,Old,JNK_pT183Y185,0.46927527081337134,MAPK8,Caution,Rabbit,PTM,,
AGID00244,2.6872113981193397,2568,Set181,LRP6_pS1490,0.06482059427989137,LRP6,Valid,Rabbit,PTM,,
AGID02154,2.7943376765149655,4370,Old,MAPK_pT202Y204,0.8739519552751612,MAPK1/MAPK3,Caution,Rabbit,PTM,,
AGID00175,2.6571556909597525,3521,Set181,MDM2_pS166,,MDM2,Valid,Rabbit,PTM,,1.4068699936383604
AGID00143,2.64233508040831,9154,Old,MEK1_pS217S221,0.8805783173532832,MAP2K1/MAP2K2,Valid,Rabbit,PTM,,
AGID00338,2.752657249073462,12110,Set181,MERIT40_pS29,0.41332975707041264,BABAM1,Valid,Rabbit,PTM,,
AGID00047,2.470335725081425,2971,Old,MTOR_pS2448,0.32432776764275045,MTOR,Caution,Rabbit,PTM,,
AGID00173,2.6565084192785635,5026,Old,MYOSINIIA_pS1943,,MYH9,Valid,Rabbit,PTM,0.35988658093080084,
