AGID,lab_id,catalog_number,set_id,peptide_target,protein_expression,gene_name,validation_status,antibody_origin,type,control1,fold_change
AGID00002,1.3862943611198906,9456,Old,4EBP1_pS65,-0.64351,EIF4EBP1,Valid,Rabbit,PTM,-0.49161,1.308984764
AGID00003,1.9459101490553132,9459,Old,4EBP1_pT37T46,-0.013765,EIF4EBP1,Valid,Rabbit,PTM,-0.73844,0.018640648
AGID00443,2.1972245773362196,9455,Old,4EBP1_pT70,-0.085912,EIF4EBP1,Caution,Rabbit,PTM,-0.063949,1.343445558
AGID00004,2.639057329615259,3661,Old,ACC_pS79,-1.0113,ACACA/ACACB,Valid,Rabbit,PTM,-0.73209,1.381387534
AGID00028,5.442417710521793,9271,Old,AKT_pS473,-0.60697,AKT1/AKT2/AKT3,Valid,Rabbit,PTM,-1.563,0.388336532
AGID00170,7.051855622955894,2965,Old,AKT_pT308,-0.34491,AKT1/AKT2/AKT3,Valid,Rabbit,PTM,-0.91772,0.375833588
AGID00347,7.605890001053122,8599,Set181,Akt2_pS474,2.0,AKT2,Caution,Rabbit,PTM,2.0,2.0
AGID00287,7.396948602621014,ABC80,Set181,Ambra1_pS52,2.0,AMBRA1,Caution,Rabbit,PTM,2.0,2.0
AGID00236,7.20934025660291,ab129081,Set181,AMPK-a2_pS345,0.15326173,PRKAA2,Valid,Rabbit,PTM,-0.180558698,-0.848819424
AGID00007,3.713572066704308,2535,Old,AMPKALPHA_pT172,-0.31321,PRKAA1/PRKAA2,Caution,Rabbit,PTM,0.39742,-0.788108299
AGID02191,7.827240901752812,PA5-39728,Old,ARAF_pS299,-0.066009,ARAF,Caution,Rabbit,PTM,0.12276,-0.537707722
AGID02142,7.803026643632217,13050,Set181,ATM_pS1981,0.124613766,ATM,Valid,Rabbit,PTM,0.890349756,0.139960465
AGID00315,7.493317248862145,ab178407,Set181,ATR_pS428,0.687110882,ATR,Caution,Rabbit,PTM,0.250574822,2.742138562
AGID00392,7.755338812846501,2914,Set181,Aurora-ABC_pT288_pT232_pT198,-0.16314602,AURKA/AURKB/AURKC,Caution,Rabbit,PTM,-0.147965708,1.102593447
AGID00179,7.065613363597717,9565,Set181,b-Catenin_pT41_S45,0.040484164,CTNNB1,Valid,Rabbit,PTM,-0.615088925,-0.065818392
AGID00008,4.1588830833596715,9291,Old,BAD_pS112,0.094623,BAD,Valid,Rabbit,PTM,-0.097085,-0.974640779
AGID00373,7.693937325509272,07-507,Set181,BMK1-Erk5_pT218_Y220,0.018537696,MAPK7,Valid,Rabbit,PTM,0.222227848,0.08341752
AGID00014,4.553876891600541,2696,Old,BRAF_pS445,0.14767,BRAF,Valid,Rabbit,PTM,-0.016498,-8.950781913
